Model,Dataset,Accuracy,Precision,Recall,F1,Samples
SVM,NEEL2016-Dev,0.8395112016293279,0.22899159663865545,0.8014705882352942,0.3562091503267974,4910
XGBoost,NEEL2016-Dev,0.9637474541751527,0.8615384615384616,0.4117647058823529,0.5572139303482587,4910
DNN,NEEL2016-Dev,0.94989816700611,0.5416666666666666,0.6213235294117647,0.5787671232876712,4910
SVM,NEEL2016-Train,0.8935550895117452,0.11314186248912098,0.7632575757575758,0.1970708330277024,308507
XGBoost,NEEL2016-Train,0.9833196653560535,0.5158392434988179,0.41325757575757577,0.45888538380651944,308507
DNN,NEEL2016-Train,0.9784056763703903,0.4007754164273406,0.5285984848484848,0.4558967657628226,308507
SVM,Mena,0.8630010396211159,0.29240924092409243,0.7953321364452424,0.4276061776061776,8657
XGBoost,Mena,0.9576065611643757,0.7272727272727273,0.5457809694793537,0.6235897435897436,8657
DNN,Mena,0.9522929421277578,0.6304347826086957,0.6247755834829444,0.6275924256086565,8657
SVM,Meij,0.8822367492827917,0.2617767941827379,0.8304914744232698,0.39807692307692305,21263
XGBoost,Meij,0.9825988806847575,0.9242219215155616,0.6850551654964895,0.7868663594470046,21263
DNN,Meij,0.9619997178196867,0.6097560975609756,0.526579739217653,0.5651237890204521,21263
TagMe-API,NEEL2016-Dev,0.75,0.9733333333333334,0.7604166666666666,0.8538011695906432,100
DBpedia-Spotlight,NEEL2016-Dev,0.51,0.9795918367346939,0.5,0.6620689655172414,100
